Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argelia,DZA,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,31.42211391,28.68618309,28.51443139,30.40092579,31.9266588,36.52335059,35.05318267,32.68917073,32.20434095,29.1282528,27.84081637,25.22672911
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,28.36249208,29.03178418,27.70983225,26.81205461,25.75264145,22.11483815,21.15684694,21.92733744,22.66248171,21.29152075,19.16378756,20.97907743
inicial del dividendo demográfico,EAR,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,27.22304723,28.56429338,29.10940201,28.9442147,28.66144429,26.70072408,25.1694849,26.15719085,27.9375489,26.46921763,23.88897129,26.68938668
Asia oriental y el Pacífico,EAS,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,29.54497733,31.17819423,30.76246615,31.28520186,30.95211402,27.41863513,25.55672837,26.71926654,27.58912428,26.18484406,23.74740649,26.3794252
Europa y Asia central (excluido altos ingresos),ECA,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,27.06854181,27.75177215,27.5077095,27.17872112,27.13890202,27.19401361,27.2804147,28.59910179,29.40952154,29.08475065,28.57589784,30.66979125
Europa y Asia central,ECS,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,36.18001466,38.33855369,38.12994066,37.82439879,37.90875409,38.44072519,38.72247923,40.24732726,41.34501813,41.67358689,39.17331088,42.01013505
Ecuador,ECU,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,32.40828274,33.36903909,31.58630314,30.96786776,29.65631484,23.98565577,19.01654907,21.5889035,23.75744696,23.02845389,19.51730348,25.19764403
"Egipto, República Árabe de",EGY,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,26.58710426,24.68820655,24.31480265,23.35519243,22.67605634,21.66209747,19.90108511,29.30835735,29.36629558,25.73983954,20.65243382,20.27598171
Zona del Euro,EMU,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,37.59838855,40.39036222,40.75113453,40.34723456,40.64597266,41.54635657,41.12062339,42.85838379,44.00370153,44.72599151,41.67981432,45.49937148
Eritrea,ERI,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,31.09308886,29.23895286,,,,,,,,,,
España,ESP,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,26.97656121,29.25820883,29.39009736,29.03372183,30.38304213,30.58612274,29.89253394,31.54311122,32.44554996,32.02467102,29.14778582,33.40978853
Estonia,EST,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,68.62890789,80.78818842,84.55213415,81.88466433,78.37604185,73.50169126,73.40115901,71.7538683,71.87136054,69.89052473,70.69354433,80.26161045
